province,year,month,lst_day_c
Hilmand,2018,8,46.336566929652875
Hirat,2018,8,40.94458244135546
Jawzjan,2018,8,48.1939748722118
Kabul,2018,8,39.36317071964524
Kandahar,2018,8,47.728442263265215
Kapisa,2018,8,35.22437317990298
Kunar,2018,8,27.737845217481006
Kunduz,2018,8,43.56552745246
Laghman,2018,8,34.38959022016064
Logar,2018,8,39.86087087732456
Nangarhar,2018,8,36.63908853251478
Nimroz,2018,8,48.55904156987586
Nuristan,2018,8,25.926380919133273
Paktya,2018,8,37.38947391745214
Samangan,2018,8,38.589535893386206
Sar-e-Pul,2018,8,38.938791367764665
Takhar,2018,8,34.671715344105884
Wardak,2018,8,38.456879416820186
Zabul,2018,8,44.04800045258431
Khost,2018,9,31.50391000237774
Paktika,2018,9,38.38850693923877
Daykundi,2018,9,33.07179768906525
Panjsher,2018,9,22.315385677472353
Parwan,2018,9,30.308982043582997
Uruzgan,2018,9,34.85603079739594
Badakhshan,2018,9,21.51012650389046
Badghis,2018,9,38.37925190685373
Baghlan,2018,9,30.29533229641005
Balkh,2018,9,40.606102964460504
Bamyan,2018,9,29.84048627460275
Farah,2018,9,42.23432375180709
Faryab,2018,9,39.92927633562044
Ghazni,2018,9,34.711600010071834
Ghor,2018,9,34.39998290406543
Hilmand,2018,9,44.69973875712723
Hirat,2018,9,38.6362253167911
Jawzjan,2018,9,43.4349953076331
Kabul,2018,9,33.14621042933581
Kandahar,2018,9,45.6749078957469
Kapisa,2018,9,30.082497828656354
Kunar,2018,9,26.22426353361524
Kunduz,2018,9,39.48180799222024
Laghman,2018,9,30.921118685434667
Logar,2018,9,33.59314177425905
Nangarhar,2018,9,33.1018976655949
Nimroz,2018,9,47.0147292587894
Nuristan,2018,9,19.113900681064173
Paktya,2018,9,32.26690420239386
Samangan,2018,9,33.42359882933818
Sar-e-Pul,2018,9,33.76265350961672
Takhar,2018,9,30.10669602979694
Wardak,2018,9,32.10225787865626
Zabul,2018,9,39.824352325973756
Khost,2018,10,24.642779257940614
Paktika,2018,10,30.04010377977363
Daykundi,2018,10,23.487395301180467
Panjsher,2018,10,8.18878851059122
Parwan,2018,10,20.108372809094288
Uruzgan,2018,10,26.02572038688822
Badakhshan,2018,10,4.427314726179307
Badghis,2018,10,28.437056676212308
Baghlan,2018,10,17.795552780213843
Balkh,2018,10,29.283091320160512
Bamyan,2018,10,18.76490250108762
Farah,2018,10,34.22521714591285
Faryab,2018,10,28.872506480561523
Ghazni,2018,10,24.8768122257969
Ghor,2018,10,24.329167911902363
Hilmand,2018,10,37.13586539333918
Hirat,2018,10,30.27156857854144
Jawzjan,2018,10,30.3530255082176
Kabul,2018,10,23.796173724507252
Kandahar,2018,10,37.01687312873968
Kapisa,2018,10,20.55137276607055
Kunar,2018,10,17.525015616091522
Kunduz,2018,10,28.21922494690266
Laghman,2018,10,22.156677716859363
Logar,2018,10,23.981058264912367
Nangarhar,2018,10,24.387603878697814
Nimroz,2018,10,39.873936447334785
Nuristan,2018,10,6.372196366120253
Paktya,2018,10,23.09041371381492
Samangan,2018,10,22.492024732608055
Sar-e-Pul,2018,10,23.095501714798203
Takhar,2018,10,16.43179825483783
Wardak,2018,10,21.840226482468697
