province,year,month,vv_db,vh_db
Jawzjan,2016,2,-17.882053411965384,-26.475976121142647
Kabul,2016,2,-9.572011715579958,-17.561263642181448
Kandahar,2016,2,-15.80183340834868,-24.097203097710533
Kapisa,2016,2,-9.185890751686243,-17.051321987833397
Kunar,2016,2,-6.8495154741209,-14.480372941435164
Kunduz,2016,2,-14.569544507200662,-22.6818427451039
Laghman,2016,2,-8.080857112285038,-16.17930186735643
Logar,2016,2,-10.936786075353183,-18.916363064803267
Nangarhar,2016,2,-7.955991975782758,-15.796052983493333
Nimroz,2016,2,-14.241118365067107,-24.90951210711323
Nuristan,2016,2,-5.875899228513131,-13.681229897117905
Paktya,2016,2,-10.587373060259376,-18.651593304251396
Samangan,2016,2,-11.28409996421182,-19.151619343999275
Sar-e-Pul,2016,2,-11.351264861084015,-19.96993636519389
Takhar,2016,2,-10.456588052223266,-19.087669463710473
Wardak,2016,2,-11.055449993047455,-19.00545983914524
Zabul,2016,2,-14.122006609779756,-22.5173283968002
Khost,2016,3,,
Paktika,2016,3,-10.40351631288371,-21.74779157397841
Daykundi,2016,3,-10.8463639194659,-18.806114759534275
Panjsher,2016,3,,
Parwan,2016,3,-7.049405132569386,-16.479113085223847
Uruzgan,2016,3,-10.184006765063511,-18.447552305966507
Badakhshan,2016,3,,
Badghis,2016,3,-8.946243615853307,-18.102870976026992
Baghlan,2016,3,-9.833718788266026,-18.71221880808661
Balkh,2016,3,-15.508846230832441,-24.765449863223925
Bamyan,2016,3,-11.200974648529682,-19.79374328950393
Farah,2016,3,-9.755796532038634,-18.768833695358857
Faryab,2016,3,-10.904340599160227,-20.946335451876283
Ghazni,2016,3,-10.1024730797741,-19.732129805320135
Ghor,2016,3,-8.749968235440729,-17.553629306535292
Hilmand,2016,3,-14.425495642402552,-24.330173537705075
Hirat,2016,3,-9.868972403261946,-18.938588036142065
Jawzjan,2016,3,-15.717256517993544,-23.50191640512353
Kabul,2016,3,,
Kandahar,2016,3,-15.101067603448039,-23.741570498853175
Kapisa,2016,3,,
Kunar,2016,3,,
Kunduz,2016,3,-14.484524418948029,-22.756689237541565
Laghman,2016,3,,
Logar,2016,3,,
Nangarhar,2016,3,,
Nimroz,2016,3,-16.105898552852803,-26.81129080331717
Nuristan,2016,3,,
Paktya,2016,3,,
Samangan,2016,3,-11.151869646233079,-20.096185270752077
Sar-e-Pul,2016,3,-12.592247415732679,-20.1959016058894
Takhar,2016,3,-10.222891504876111,-19.833088736577956
Wardak,2016,3,-9.688837447074897,-18.89725484288198
Zabul,2016,3,-9.066318793260773,-18.6325423452036
Khost,2016,4,,
Paktika,2016,4,,
Daykundi,2016,4,,
Panjsher,2016,4,,
Parwan,2016,4,,
Uruzgan,2016,4,,
Badakhshan,2016,4,,
Badghis,2016,4,,
Baghlan,2016,4,,
Balkh,2016,4,,
Bamyan,2016,4,,
Farah,2016,4,,
Faryab,2016,4,,
Ghazni,2016,4,,
Ghor,2016,4,,
Hilmand,2016,4,,
Hirat,2016,4,,
Jawzjan,2016,4,,
Kabul,2016,4,,
Kandahar,2016,4,,
Kapisa,2016,4,,
Kunar,2016,4,,
Kunduz,2016,4,,
Laghman,2016,4,,
Logar,2016,4,,
Nangarhar,2016,4,,
Nimroz,2016,4,,
Nuristan,2016,4,,
Paktya,2016,4,,
Samangan,2016,4,,
Sar-e-Pul,2016,4,,
Takhar,2016,4,,
Wardak,2016,4,,
Zabul,2016,4,,
Khost,2016,5,-9.241540740240485,-16.427002890865577
Paktika,2016,5,-11.563395454264512,-19.384994941122365
Daykundi,2016,5,-8.537559851130837,-15.768532893589025
Panjsher,2016,5,-10.273283701483264,-18.34711647508824
Parwan,2016,5,-8.757024412762213,-16.09680429184097
Uruzgan,2016,5,-8.647846434382249,-15.643152483901181
Badakhshan,2016,5,-9.998745633794135,-17.809986582653842
Badghis,2016,5,-12.5203519442248,-20.822272416849586
Baghlan,2016,5,-10.35537235750376,-18.244173383767567
Balkh,2016,5,-14.481731871685591,-22.958233570644722
Bamyan,2016,5,-9.864273169545584,-17.47636444923852
Farah,2016,5,-10.903107397322659,-18.941962674566884
Faryab,2016,5,-13.68489127372594,-22.005052335383322
Ghazni,2016,5,-10.960612387100436,-18.360061310900342
Ghor,2016,5,-10.037990292213504,-17.447540657823296
Hilmand,2016,5,-15.096148483454886,-23.183785590546044
Hirat,2016,5,-12.550050734659857,-20.75226696700932
Jawzjan,2016,5,-17.16028474990633,-25.6370971908415
Kabul,2016,5,-9.147134435014769,-16.381547559410617
Kandahar,2016,5,-15.810552580052297,-22.854470280151208
Kapisa,2016,5,-7.4716329126927095,-14.991070214695124
Kunar,2016,5,-7.903584029855345,-14.856731886898002
Kunduz,2016,5,-15.451906652485851,-23.42164593138667
Laghman,2016,5,-9.202646901670468,-16.813900631068044
Logar,2016,5,-9.569582965852085,-17.073899712817845
Nangarhar,2016,5,-9.086508773239597,-16.160298003145336
Nimroz,2016,5,-16.00006214681229,-25.779228068627013
Nuristan,2016,5,-9.020779800570436,-17.08655981436981
Paktya,2016,5,-9.58921644791362,-16.930915332642993
Samangan,2016,5,-10.987832054543283,-18.606678902208674
Sar-e-Pul,2016,5,-10.870810038895527,-18.9009288545795
Takhar,2016,5,-10.31293682619662,-18.227617970075116
Wardak,2016,5,-9.605386946983826,-17.049556526322316
Zabul,2016,5,-10.98757157052395,-18.61725032809221
Khost,2016,6,,
Paktika,2016,6,,
Daykundi,2016,6,,
Panjsher,2016,6,,
Parwan,2016,6,,
Uruzgan,2016,6,,
Badakhshan,2016,6,,
Badghis,2016,6,,
Baghlan,2016,6,,
Balkh,2016,6,,
Bamyan,2016,6,,
Farah,2016,6,-14.534054118582626,-23.23455840745249
Faryab,2016,6,,
Ghazni,2016,6,,
Ghor,2016,6,,
Hilmand,2016,6,,
Hirat,2016,6,-14.885348643678146,-23.72604840926118
Jawzjan,2016,6,,
Kabul,2016,6,,
Kandahar,2016,6,,
Kapisa,2016,6,,
Kunar,2016,6,,
Kunduz,2016,6,,
Laghman,2016,6,,
Logar,2016,6,,
Nangarhar,2016,6,,
Nimroz,2016,6,,
Nuristan,2016,6,,
Paktya,2016,6,,
Samangan,2016,6,,
Sar-e-Pul,2016,6,,
Takhar,2016,6,,
Wardak,2016,6,,
Zabul,2016,6,,
Khost,2016,7,,
Paktika,2016,7,,
Daykundi,2016,7,,
Panjsher,2016,7,,
Parwan,2016,7,,
Uruzgan,2016,7,,
Badakhshan,2016,7,,
Badghis,2016,7,,
Baghlan,2016,7,,
Balkh,2016,7,,
Bamyan,2016,7,,
Farah,2016,7,,
Faryab,2016,7,,
Ghazni,2016,7,,
Ghor,2016,7,,
Hilmand,2016,7,,
Hirat,2016,7,,
Jawzjan,2016,7,,
Kabul,2016,7,,
Kandahar,2016,7,,
Kapisa,2016,7,,
Kunar,2016,7,,
Kunduz,2016,7,,
Laghman,2016,7,,
Logar,2016,7,,
Nangarhar,2016,7,,
Nimroz,2016,7,,
Nuristan,2016,7,,
Paktya,2016,7,,
Samangan,2016,7,,
Sar-e-Pul,2016,7,,
Takhar,2016,7,,
Wardak,2016,7,,
Zabul,2016,7,,
Khost,2016,8,,
Paktika,2016,8,,
Daykundi,2016,8,,
