province,year,month,ndvi,evi
Uruzgan,2019,8,0.14681740927770434,0.1110606949559202
Badakhshan,2019,8,0.15730967394371825,0.09652203941763775
Badghis,2019,8,0.17251483102926654,0.130224101165541
Baghlan,2019,8,0.18020753821758234,0.12392961042393615
Balkh,2019,8,0.13488671672245464,0.10706855693933587
Bamyan,2019,8,0.1549454687390049,0.10895968424599334
Farah,2019,8,0.1009225097727576,0.0743023107033613
Faryab,2019,8,0.16327079201777492,0.12207920557979896
Ghazni,2019,8,0.1491870764257359,0.11026173183150827
Ghor,2019,8,0.14990371977332734,0.10761195736909476
Hilmand,2019,8,0.1111456810839766,0.08325379204902572
Hirat,2019,8,0.13239926523452003,0.09536915557986905
Jawzjan,2019,8,0.13257931498737646,0.10455222930497819
Kabul,2019,8,0.17656230141148868,0.12245794345466283
Kandahar,2019,8,0.11144287827597646,0.08405594347930917
Kapisa,2019,8,0.2495387610457288,0.16841206340101497
Kunar,2019,8,0.48569569033724197,0.24264259809426234
Kunduz,2019,8,0.2087951900970359,0.15372106276843459
Laghman,2019,8,0.2737214446571758,0.16236816327962036
Logar,2019,8,0.1466849131828745,0.10015146087890478
Nangarhar,2019,8,0.2292110930620154,0.1438620611147585
Nimroz,2019,8,0.07728338120242392,0.06046125745175448
Nuristan,2019,8,0.2923953910902849,0.15358475839560748
Paktya,2019,8,0.2180379866834979,0.1360893575561011
Samangan,2019,8,0.15803625803093013,0.11907855658511335
Sar-e-Pul,2019,8,0.16958476934122454,0.12632914140103618
Takhar,2019,8,0.18021400570925464,0.1251591400083853
Wardak,2019,8,0.1670716327315584,0.1100933664092597
Zabul,2019,8,0.11815252792262854,0.08862517294583462
Khost,2019,9,0.2555040430915993,0.1456519179456605
Paktika,2019,9,0.1261110447682804,0.08446669706498025
Daykundi,2019,9,0.13806044799135825,0.09024734954286642
Panjsher,2019,9,0.15815860090359588,0.09016745165841851
Parwan,2019,9,0.15978509499715227,0.09739355589851059
Uruzgan,2019,9,0.1424569333456373,0.1039787039927391
Badakhshan,2019,9,0.13323141023766208,0.07555030217302719
Badghis,2019,9,0.16314029376215672,0.1208503598071551
Baghlan,2019,9,0.16717778051310242,0.1069838856217015
Balkh,2019,9,0.12496344552246047,0.09549951533388291
Bamyan,2019,9,0.14231741626601735,0.09563450536214466
Farah,2019,9,0.10046884212236241,0.0727806671778045
Faryab,2019,9,0.15349196547509564,0.11241036873023147
Ghazni,2019,9,0.13773297126911171,0.09980999220233663
Ghor,2019,9,0.14088285581316107,0.09755545774277245
Hilmand,2019,9,0.10905909568183622,0.0799591554514653
Hirat,2019,9,0.1277747887917635,0.08982606291639372
Jawzjan,2019,9,0.12376318944262306,0.09546056279242247
Kabul,2019,9,0.16312045946743978,0.10702220223887768
Kandahar,2019,9,0.10927469793889079,0.08135697916485989
Kapisa,2019,9,0.22130167181489024,0.13810943840805534
Kunar,2019,9,0.4612509463302609,0.21375508036235025
Kunduz,2019,9,0.1657972848267052,0.11475386793922941
Laghman,2019,9,0.2592477492622416,0.14348788675852556
Logar,2019,9,0.13772532537502905,0.08905748132540764
Nangarhar,2019,9,0.21216099496461777,0.12418872988721584
Nimroz,2019,9,0.07599632349004873,0.059161380044109375
Nuristan,2019,9,0.2542840474340151,0.12248586817779536
Paktya,2019,9,0.2009609089469993,0.11744456308619876
Samangan,2019,9,0.15054565715776286,0.10886630921114146
Sar-e-Pul,2019,9,0.15610004918512588,0.11186310155388805
Takhar,2019,9,0.1591112150764956,0.10152305283461269
Wardak,2019,9,0.14952739771366585,0.09644613446116841
Zabul,2019,9,0.11491163290821568,0.08480296573640571
Khost,2019,10,0.2426504787243712,0.1295081569391589
Paktika,2019,10,0.12286324914938053,0.07989869991067637
Daykundi,2019,10,0.1334617085835944,0.08090019725142161
Panjsher,2019,10,0.10741364332892649,0.060931765355187864
Parwan,2019,10,0.14259722862948002,0.08295409663094337
Uruzgan,2019,10,0.13805585807203585,0.09539342029753399
Badakhshan,2019,10,0.10821615356759658,0.061032476960487816
Badghis,2019,10,0.1633165749076105,0.1145920684963687
Baghlan,2019,10,0.1505318473177694,0.09724760279551627
Balkh,2019,10,0.12213222579145372,0.08929067467864014
Bamyan,2019,10,0.13698330400842446,0.0862717233338377
Farah,2019,10,0.09915730778907823,0.06962832250206241
Faryab,2019,10,0.15314553663109245,0.10748761051998548
Ghazni,2019,10,0.13156729116670657,0.09074540737607224
Ghor,2019,10,0.14355005815777774,0.09100684167186844
Hilmand,2019,10,0.10583952729090582,0.07584462421651707
Hirat,2019,10,0.12465371179906355,0.08409698281329386
Jawzjan,2019,10,0.11857499951834694,0.08937357702519463
Kabul,2019,10,0.15239787426585505,0.09630771832599103
Kandahar,2019,10,0.10773479208620505,0.07862982613597251
Kapisa,2019,10,0.1992555932449828,0.11917297994954744
Kunar,2019,10,0.4259836720211235,0.18449665278948083
Kunduz,2019,10,0.14483970340188526,0.09926089088488453
Laghman,2019,10,0.24081072708166207,0.12975213006568231
Logar,2019,10,0.12585721708785527,0.0770297327146136
Nangarhar,2019,10,0.19724061988059413,0.10782352389761751
Nimroz,2019,10,0.07583655626162779,0.0585716812652522
Nuristan,2019,10,0.18703939334350966,0.08707823897812944
Paktya,2019,10,0.1948905410430202,0.10582665687802265
Samangan,2019,10,0.15948721853467915,0.10756075073559153
Sar-e-Pul,2019,10,0.15591223417545474,0.10286916799525485
Takhar,2019,10,0.13907155614068778,0.08823152889324556
Wardak,2019,10,0.14110367149432634,0.08619891917877386
Zabul,2019,10,0.11156316878046026,0.07824235475264686
Khost,2019,11,0.24014704011614588,0.11985405825869191
Paktika,2019,11,0.12551166390619406,0.07608310938653456
Daykundi,2019,11,0.1104226348495481,0.06224255561117746
Panjsher,2019,11,0.03955062425535735,0.01596418439712491
Parwan,2019,11,0.09454377168394122,0.04930057581384584
Uruzgan,2019,11,0.13851595062334732,0.08523088912642039
Badakhshan,2019,11,0.039139449055560244,0.013791389439018092
Badghis,2019,11,0.17340908050799655,0.1093575799184651
Baghlan,2019,11,0.12430924101182737,0.07014772073081153
Balkh,2019,11,0.12011453618726887,0.08152867998540976
Bamyan,2019,11,0.06289324975246356,0.03905464917005003
Farah,2019,11,0.1004057912617909,0.06658036070116172
Faryab,2019,11,0.1536636987877747,0.09998386104980204
Ghazni,2019,11,0.09411168598734854,0.06293922684828859
Ghor,2019,11,0.11189272459007082,0.06808951911100783
Hilmand,2019,11,0.10537618198800744,0.0707537447213944
Hirat,2019,11,0.1257444574416209,0.07806514494715942
Jawzjan,2019,11,0.11861279812203014,0.08462250947110271
Kabul,2019,11,0.1406215961151825,0.08046538325277659
Kandahar,2019,11,0.11320941280105529,0.07694190249064944
Kapisa,2019,11,0.17217670140778674,0.09255486005662175
Kunar,2019,11,0.4076353853156197,0.15290398589140075
Kunduz,2019,11,0.1368963022947517,0.08597495080644478
Laghman,2019,11,0.2327074009493873,0.11042441403552077
Logar,2019,11,0.10524918724029803,0.06037545325955537
Nangarhar,2019,11,0.19152757386078517,0.09732360582375407
Nimroz,2019,11,0.0774191934878261,0.05770665613468621
Nuristan,2019,11,0.11149233381874353,0.03678587154456108
Paktya,2019,11,0.18075155758569364,0.09295168556538516
Samangan,2019,11,0.14353413659051972,0.09478569348287008
Sar-e-Pul,2019,11,0.12687293092728583,0.07819809034022433
Takhar,2019,11,0.11905193888980997,0.06455832339744967
Wardak,2019,11,0.07377853217790892,0.0452004098251758
Zabul,2019,11,0.11190686578528525,0.07134197129519028
Khost,2019,12,0.22230667371686075,0.11214136653926011
Paktika,2019,12,0.11909543263287745,0.06955956724033886
Daykundi,2019,12,0.07912530487040936,0.04432820815342277
Panjsher,2019,12,0.022674795231514007,0.006248736467847885
Parwan,2019,12,0.06528132507808646,0.0334040790733921
Uruzgan,2019,12,0.12309257576105248,0.07416739154878714
Badakhshan,2019,12,0.012646355537716581,-0.0009351795314388428
Badghis,2019,12,0.15860553574931435,0.09961537146723241
