province,year,month,precip_total_mm
Bamyan,2012,6,0.9119888570047323
Farah,2012,6,0.018048646211042726
Faryab,2012,6,0
Ghazni,2012,6,0.2570193418828165
Ghor,2012,6,0.32262340960181096
Hilmand,2012,6,0.014364907766767935
Hirat,2012,6,0.01419275820235428
Jawzjan,2012,6,0
Kabul,2012,6,0.736252542081816
Kandahar,2012,6,0
Kapisa,2012,6,0.9055336088249261
Kunar,2012,6,9.2650674258928
Kunduz,2012,6,0.1479998161175421
Laghman,2012,6,4.762617699881512
Logar,2012,6,1.678364149092362
Nangarhar,2012,6,7.609744878843603
Nimroz,2012,6,0
Nuristan,2012,6,8.52054622203751
Paktya,2012,6,5.482787634163566
Samangan,2012,6,0.03495119591559611
Sar-e-Pul,2012,6,0.09845034107668077
Takhar,2012,6,10.776391359049601
Wardak,2012,6,1.1332820011128266
Zabul,2012,6,0.07333722465219011
Khost,2012,7,50.798058847059366
Paktika,2012,7,18.731631011385257
Daykundi,2012,7,0.5587471943415442
Panjsher,2012,7,7.975726591547754
Parwan,2012,7,2.115772171879969
Uruzgan,2012,7,0.6888495760885263
Badakhshan,2012,7,25.41235976313242
Badghis,2012,7,0
Baghlan,2012,7,2.2864364521576466
Balkh,2012,7,0
Bamyan,2012,7,0.04054600461673338
Farah,2012,7,0
Faryab,2012,7,0
Ghazni,2012,7,0.9443625845177944
Ghor,2012,7,0.0982368458610035
Hilmand,2012,7,0
Hirat,2012,7,0.007549036851371531
Jawzjan,2012,7,0
Kabul,2012,7,4.487619364866293
Kandahar,2012,7,0.2288090813415948
Kapisa,2012,7,4.439315198897585
Kunar,2012,7,16.622383259519495
Kunduz,2012,7,0
Laghman,2012,7,6.48571907525378
Logar,2012,7,6.644344678029196
Nangarhar,2012,7,12.401282290668853
Nimroz,2012,7,0
Nuristan,2012,7,8.605443257851677
Paktya,2012,7,21.6905215471569
Samangan,2012,7,0.007811260595031362
Sar-e-Pul,2012,7,0
Takhar,2012,7,7.054188181662126
Wardak,2012,7,0.5372310324004566
Zabul,2012,7,1.5277935456161014
Khost,2012,8,70.86737832168987
Paktika,2012,8,9.414806201797168
Daykundi,2012,8,0.3313159340010525
Panjsher,2012,8,0.917379323196737
Parwan,2012,8,0.13481853436804186
Uruzgan,2012,8,0.15302527272964903
Badakhshan,2012,8,11.948535411022792
Badghis,2012,8,0
Baghlan,2012,8,0.4322795204747705
Balkh,2012,8,0
Bamyan,2012,8,0.011614974269283703
Farah,2012,8,0
Faryab,2012,8,0
Ghazni,2012,8,0.10570800471404344
Ghor,2012,8,0.007822482554264007
Hilmand,2012,8,8.468832715406461e-05
Hirat,2012,8,0
Jawzjan,2012,8,0
Kabul,2012,8,1.1406448046094149
Kandahar,2012,8,0.005375323792716339
Kapisa,2012,8,0.5314040277532414
Kunar,2012,8,25.193449595252833
Kunduz,2012,8,0
Laghman,2012,8,4.815199145196167
Logar,2012,8,3.8996539895264903
Nangarhar,2012,8,16.07079590378689
Nimroz,2012,8,0
Nuristan,2012,8,7.568622661342844
Paktya,2012,8,18.629648206662793
Samangan,2012,8,0
Sar-e-Pul,2012,8,0
Takhar,2012,8,1.583552275256284
Wardak,2012,8,0
Zabul,2012,8,0.12238807737827016
Khost,2012,9,41.696668031561295
Paktika,2012,9,3.224575512571648
Daykundi,2012,9,0.41061621697918843
Panjsher,2012,9,14.230022030332977
Parwan,2012,9,7.087594764627936
Uruzgan,2012,9,0
Badakhshan,2012,9,4.5988503216002155
Badghis,2012,9,0
Baghlan,2012,9,3.0170289046996217
Balkh,2012,9,0
Bamyan,2012,9,0.06479358615256989
Farah,2012,9,0
Faryab,2012,9,0
Ghazni,2012,9,0.48400189792593257
Ghor,2012,9,0.038175877386320986
Hilmand,2012,9,0
Hirat,2012,9,0
Jawzjan,2012,9,0
Kabul,2012,9,5.3078090148676225
Kandahar,2012,9,0.10039251753292823
Kapisa,2012,9,11.185421772683847
Kunar,2012,9,43.073890287688954
Kunduz,2012,9,0
Laghman,2012,9,19.109117059697446
Logar,2012,9,3.0953695284764704
Nangarhar,2012,9,22.891084281730176
Nimroz,2012,9,0.005663713746181442
Nuristan,2012,9,18.33020604154228
Paktya,2012,9,13.643348788572611
Samangan,2012,9,0.04213652173141037
Sar-e-Pul,2012,9,0
Takhar,2012,9,2.9079180224075043
Wardak,2012,9,0.3011439914782661
Zabul,2012,9,0.25743167887508067
Khost,2012,10,9.114592197105162
Paktika,2012,10,1.7534127283857177
Daykundi,2012,10,14.174075230480101
Panjsher,2012,10,28.244278061186233
Parwan,2012,10,10.304043519537773
Uruzgan,2012,10,7.906711298898779
Badakhshan,2012,10,25.594005969243437
Badghis,2012,10,11.359461383732407
Baghlan,2012,10,11.85181035667355
Balkh,2012,10,5.100883189514568
Bamyan,2012,10,10.822622187111897
Farah,2012,10,3.4633199786610884
Faryab,2012,10,10.037842755541488
Ghazni,2012,10,10.240398914250585
Ghor,2012,10,10.3322081437649
Hilmand,2012,10,1.4609161093866012
Hirat,2012,10,7.158091469270417
Jawzjan,2012,10,5.220458891109252
Kabul,2012,10,10.334372221010877
Kandahar,2012,10,0.4381357499862551
Kapisa,2012,10,15.88710118660264
Kunar,2012,10,31.608690537459335
Kunduz,2012,10,4.439869487204713
Laghman,2012,10,20.932033694205934
Logar,2012,10,7.946094285865557
Nangarhar,2012,10,15.596202894889151
Nimroz,2012,10,0.3462510923932979
Nuristan,2012,10,31.784099964711324
Paktya,2012,10,6.554431796826471
Samangan,2012,10,8.75837078782489
Sar-e-Pul,2012,10,9.173003455221435
Takhar,2012,10,14.311236197015775
Wardak,2012,10,9.320879639494276
Zabul,2012,10,3.0678648396607056
Khost,2012,11,11.1722380935215
Paktika,2012,11,4.5647755563787396
Daykundi,2012,11,21.937718046616038
Panjsher,2012,11,22.63903713009134
Parwan,2012,11,26.271825192235653
Uruzgan,2012,11,18.279570231430313
Badakhshan,2012,11,30.239132318484724
Badghis,2012,11,31.834450336111004
Baghlan,2012,11,34.48980054821114
Balkh,2012,11,23.489730532828954
Bamyan,2012,11,24.186296067792362
Farah,2012,11,9.376231120427018
Faryab,2012,11,33.9243343294051
Ghazni,2012,11,15.855825559563394
Ghor,2012,11,28.569296896675585
Hilmand,2012,11,5.728123432277273
Hirat,2012,11,18.408013887454764
Jawzjan,2012,11,19.975950684614663
Kabul,2012,11,20.38359143684318
Kandahar,2012,11,5.313885620416697
Kapisa,2012,11,20.01833058524483
Kunar,2012,11,20.02962798301512
Kunduz,2012,11,36.02361071518534
Laghman,2012,11,13.94691128939344
Logar,2012,11,21.117432771446282
Nangarhar,2012,11,12.899946365087471
Nimroz,2012,11,2.043561120199197
Nuristan,2012,11,15.601907366429108
Paktya,2012,11,18.42882948828352
Samangan,2012,11,33.83537300957196
Sar-e-Pul,2012,11,47.1478544040012
Takhar,2012,11,45.96126601773978
Wardak,2012,11,18.910814432160652
Zabul,2012,11,12.63274258846676
Khost,2012,12,33.611818160189415
Paktika,2012,12,34.05329379562568
Daykundi,2012,12,27.944116590275918
Panjsher,2012,12,38.55665827255407
Parwan,2012,12,38.96198483796499
Uruzgan,2012,12,46.442553714304815
Badakhshan,2012,12,44.02331296845711
Badghis,2012,12,56.850389327535815
Baghlan,2012,12,45.51555650931815
Balkh,2012,12,35.37850409063682
Bamyan,2012,12,28.69404830154621
Farah,2012,12,34.5809208389609
Faryab,2012,12,38.31071649954493
Ghazni,2012,12,31.209530442341233
