province,year,month,vci,tci,vhi
Ghazni,2021,2,100.0,0.0,50.0
Ghor,2021,2,100.0,0.0,50.0
Hilmand,2021,2,38.26,0.0,19.13
Hirat,2021,2,100.0,0.0,50.0
Jawzjan,2021,2,27.45,0.0,13.72
Kabul,2021,2,100.0,0.0,50.0
Kandahar,2021,2,29.71,0.0,14.85
Kapisa,2021,2,95.97,0.0,47.98
Kunar,2021,2,100.0,0.0,50.0
Kunduz,2021,2,43.4,0.0,21.7
Laghman,2021,2,100.0,0.0,50.0
Logar,2021,2,97.29,0.0,48.64
Nangarhar,2021,2,96.08,0.0,48.04
Nimroz,2021,2,73.43,0.0,36.72
Nuristan,2021,2,100.0,0.0,50.0
Paktya,2021,2,100.0,0.0,50.0
Samangan,2021,2,100.0,0.0,50.0
Sar-e-Pul,2021,2,77.36,0.0,38.68
Takhar,2021,2,63.08,3.06,33.07
Wardak,2021,2,100.0,0.0,50.0
Zabul,2021,2,100.0,0.0,50.0
Khost,2021,3,71.0,52.91,61.95
Paktika,2021,3,85.53,23.2,54.36
Daykundi,2021,3,100.0,34.59,67.29
Panjsher,2021,3,79.17,64.02,71.6
Parwan,2021,3,87.18,59.05,73.11
Uruzgan,2021,3,55.09,30.94,43.02
Badakhshan,2021,3,38.9,87.16,63.03
Badghis,2021,3,38.99,41.29,40.14
Baghlan,2021,3,84.59,75.96,80.27
Balkh,2021,3,45.0,88.27,66.64
Bamyan,2021,3,69.06,52.92,60.99
Farah,2021,3,28.38,16.02,22.2
Faryab,2021,3,24.58,53.97,39.28
Ghazni,2021,3,100.0,21.01,60.51
Ghor,2021,3,100.0,23.63,61.82
Hilmand,2021,3,16.22,28.78,22.5
Hirat,2021,3,12.33,1.99,7.16
Jawzjan,2021,3,34.24,61.36,47.8
Kabul,2021,3,100.0,60.93,80.46
Kandahar,2021,3,8.52,35.86,22.19
Kapisa,2021,3,100.0,58.45,79.23
Kunar,2021,3,79.49,66.92,73.21
Kunduz,2021,3,69.79,100.0,84.9
Laghman,2021,3,82.36,70.07,76.21
Logar,2021,3,86.3,39.25,62.78
Nangarhar,2021,3,60.24,66.91,63.58
Nimroz,2021,3,92.45,35.17,63.81
Nuristan,2021,3,67.96,68.63,68.3
Paktya,2021,3,95.76,41.36,68.56
Samangan,2021,3,53.36,87.09,70.22
Sar-e-Pul,2021,3,28.51,72.89,50.7
Takhar,2021,3,34.7,100.0,67.35
Wardak,2021,3,100.0,27.4,63.7
Zabul,2021,3,54.38,29.8,42.09
Khost,2021,4,34.64,64.67,49.65
Paktika,2021,4,30.94,37.05,34.0
Daykundi,2021,4,70.78,23.44,47.11
Panjsher,2021,4,27.95,87.92,57.94
Parwan,2021,4,39.82,51.88,45.85
Uruzgan,2021,4,15.33,18.65,16.99
Badakhshan,2021,4,1.08,100.0,50.54
