province,year,month,precip_total_mm,precip_3mo_mm,spi3,spi3_category,is_drought,vv_db,vh_db,ndvi,evi,lst_day_c,date,ndvi_lag1,evi_lag1,vv_db_lag1,vh_db_lag1,lst_day_c_lag1,precip_total_mm_lag1,spi3_lag1,target_spi3_next,target_drought_next,target_category_next
Daykundi,2016,9,0.4917167863759514,1.8256240088847264,-0.0639395677434813,near_normal,False,,,0.1326855994452197,0.0866987481960072,35.118588072217655,2016-09-01,0.1387815527047143,0.0953403174753783,,,37.62243639036106,0.5545185101437659,-0.0550353911131923,-0.0673272487953889,False,near_normal
Daykundi,2016,10,6.95529631200683,8.001531608526562,-0.0673272487953889,near_normal,False,,,0.1263860502050831,0.0784807495191508,25.039948884411302,2016-10-01,0.1326855994452197,0.0866987481960072,,,35.118588072217655,0.4917167863759514,-0.0639395677434813,0.0975537747924742,False,near_normal
Daykundi,2016,11,24.723130504046345,32.17014360242914,0.0975537747924742,near_normal,False,,,0.1225742530895171,0.0690955809481753,15.10100289952242,2016-11-01,0.1263860502050831,0.0784807495191508,,,25.039948884411302,6.95529631200683,-0.0673272487953889,-0.3109700154029697,False,near_normal
Daykundi,2016,12,16.333820148253835,48.01224696430703,-0.3109700154029697,near_normal,False,,,0.0929499384620904,0.0548910325017869,9.310569742863002,2016-12-01,0.1225742530895171,0.0690955809481753,,,15.10100289952242,24.723130504046345,0.0975537747924742,0.093605598249267,False,near_normal
Daykundi,2017,1,44.64014980684042,85.69710045914061,0.093605598249267,near_normal,False,,,0.066792425243849,0.0393273130100916,-0.0826828593933108,2017-01-01,0.0929499384620904,0.0548910325017869,,,9.310569742863002,16.333820148253835,-0.3109700154029697,1.3762912113919603,False,moderately_wet
Daykundi,2017,2,119.22822919020992,180.2021991453042,1.3762912113919603,moderately_wet,False,-9.89141230587414,-18.190815257468945,0.0225068797241274,0.0045070184377522,1.0709161020297289,2017-02-01,0.066792425243849,0.0393273130100916,,,-0.0826828593933108,44.64014980684042,0.093605598249267,1.3045039825743974,False,moderately_wet
Daykundi,2017,3,44.043337468907865,207.91171646595825,1.3045039825743974,moderately_wet,False,-9.559012271883118,-17.706717630843183,0.0777798177534167,0.0449270494374491,11.718276186418697,2017-03-01,0.0225068797241274,0.0045070184377522,-9.89141230587414,-18.190815257468945,1.0709161020297289,119.22822919020992,1.3762912113919603,0.6465320184783985,False,near_normal
Daykundi,2017,4,22.07094930592024,185.34251596503807,0.6465320184783985,near_normal,False,-9.493423244040464,-17.330988259543417,0.1554272000997566,0.1033882664939131,26.433084617862544,2017-04-01,0.0777798177534167,0.0449270494374491,-9.559012271883118,-17.706717630843183,11.718276186418697,44.043337468907865,1.3045039825743974,-0.9630054580177524,False,near_normal
Daykundi,2017,5,24.05663993887621,90.17092671370436,-0.9630054580177524,near_normal,False,-8.815782001602505,-16.121761893925022,0.189570806456787,0.1284296042286808,33.84559744836273,2017-05-01,0.1554272000997566,0.1033882664939131,-9.493423244040464,-17.330988259543417,26.433084617862544,22.07094930592024,0.6465320184783985,-1.096762172116176,True,moderate_drought
Daykundi,2017,6,0.2152473636098753,46.34283660840635,-1.096762172116176,moderate_drought,True,-8.396755254163647,-15.415327412056245,0.1612727533944652,0.111992836159803,40.25220255780244,2017-06-01,0.189570806456787,0.1284296042286808,-8.815782001602505,-16.121761893925022,33.84559744836273,24.05663993887621,-0.9630054580177524,0.2513986272308677,False,near_normal
Daykundi,2017,7,1.3170240171738778,25.588911319659992,0.2513986272308677,near_normal,False,-8.123394917155691,-15.16921228914956,0.141449895644677,0.098007723747157,41.02751728794278,2017-07-01,0.1612727533944652,0.111992836159803,-8.396755254163647,-15.415327412056245,40.25220255780244,0.2152473636098753,-1.096762172116176,0.0949820393689016,False,near_normal
