province,scenario,n_historical_months_in_pool,p10_risk,p50_risk,p90_risk,mean_risk,prob_over_threshold
Kandahar,wettest_tercile,28,0.00035874776958860955,0.007728942777852109,0.13809798316380925,0.05632250973750522,0.038
Kapisa,driest_tercile,27,0.0018183888146701315,0.07090239679360816,0.8998725069688568,0.19350967592248333,0.1886
Kapisa,all_months,82,0.0003613302447812752,0.0031679973801362945,0.17250540248045484,0.09333903917525975,0.0874
Kapisa,wettest_tercile,28,9.920232812334837e-05,0.0005688329707451542,0.005411747275215488,0.003247106341395718,0.0
Khost,driest_tercile,28,0.030273690683349733,0.5231700934005615,0.958178599579175,0.4719795298601099,0.538
Khost,all_months,83,0.0006414775786974089,0.012318460792407424,0.8716685555136214,0.18708688750622066,0.195
Khost,wettest_tercile,28,0.0002686321793778562,0.0012577242118775016,0.009258782468803422,0.0031049955159624205,0.0
Kunar,driest_tercile,29,0.0006000144945406202,0.05204162665231463,0.3787337963626157,0.1307728412099441,0.074
Kunar,all_months,87,0.00017586549865424283,0.002378091447642431,0.13907248326657187,0.0455245953302823,0.02
Kunar,wettest_tercile,29,7.557327632114811e-05,0.00041576715423974364,0.0016256926396712174,0.0008779425378198935,0.0
Kunduz,driest_tercile,28,0.04604711252641642,0.737342314146702,0.9625954816497997,0.5977371545147935,0.6426
Kunduz,all_months,83,0.0011241128075836413,0.057781736541548015,0.9276957087319457,0.2701580430463981,0.2658
Kunduz,wettest_tercile,28,0.0003921511603277182,0.005423187545545386,0.09764304383237167,0.033670437851454536,0.0
Laghman,driest_tercile,29,0.010195214169929676,0.1783548021967013,0.7895279842323619,0.2866657713546171,0.2016
Laghman,all_months,87,0.0012964837060050502,0.02306415711427444,0.4239084735307104,0.1359505524388215,0.072
Laghman,wettest_tercile,29,0.00016703202068698032,0.00442947049394794,0.010396768917137575,0.004677217342510689,0.0
Logar,driest_tercile,27,0.02832443920222738,0.410130877247024,0.870193843760471,0.414633401256452,0.4454
Logar,all_months,82,0.0016039717476767248,0.04349156931295192,0.6868817932021899,0.21263854506338495,0.1904
Logar,wettest_tercile,28,0.0004217548463229444,0.004506173245714636,0.11747913715451959,0.06300832824818513,0.038
Nangarhar,driest_tercile,29,0.007675026536879253,0.2949627388263397,0.914077098113356,0.3736742197327529,0.3462
Nangarhar,all_months,87,0.0005327756537545375,0.01687116132801534,0.5790790710261339,0.1588257736507109,0.1282
Nangarhar,wettest_tercile,29,0.0003191239464339905,0.0016217895334123794,0.005931533038626964,0.002218887159771984,0.0
Nimroz,driest_tercile,28,0.08623657406839572,0.6960929066721534,0.9612838042006637,0.578464256465202,0.5774
Nimroz,all_months,84,0.0009811725731029685,0.11379364399586575,0.8942944087326727,0.2749397087544723,0.2436
Nimroz,wettest_tercile,28,0.0002513560775449124,0.003452753387035645,0.06087781162474533,0.014074982922220237,0.0
Nuristan,driest_tercile,28,0.001568773486671649,0.03470362845793257,0.7376869728680823,0.1581699112346911,0.105
Nuristan,all_months,85,0.0003193456509970112,0.005401093951199852,0.1440066803008235,0.07153415519139933,0.0472
Nuristan,wettest_tercile,29,0.00021564620116768418,0.0008102561222474699,0.0043917423127050065,0.0024681052122921244,0.0
Paktika,driest_tercile,28,0.06974374756570552,0.6689740489972583,0.9559211682970391,0.5355799984144752,0.5318
Paktika,all_months,83,0.0014485076454065697,0.09394516770395585,0.836820954506746,0.24501770182035662,0.1994
Paktika,wettest_tercile,28,0.0004025344312752677,0.003602062653807038,0.02998109295873237,0.01536475897923453,0.0
Paktya,driest_tercile,27,0.0072285560147334,0.2954379653384433,0.8505681918798682,0.38788561474335104,0.405
Paktya,all_months,82,0.0009876152728599456,0.033867826146426944,0.6547597723367734,0.1831283291641363,0.16
Paktya,wettest_tercile,28,0.0003798597475136612,0.0018209818271494361,0.014231340848718738,0.00813999514828185,0.0
Panjsher,driest_tercile,28,0.0017584461348941153,0.05213948533509252,0.6183738380381857,0.16061625923698558,0.145
Panjsher,all_months,84,0.0004007823696661211,0.008089755380969765,0.20735155222297666,0.08972571446464346,0.0742
Panjsher,wettest_tercile,28,0.00013887667062959278,0.0007130302967372583,0.01627298695503927,0.0058030936017586625,0.0
Parwan,driest_tercile,28,0.0006740752969021947,0.030032888787762953,0.40483521742027373,0.12705721265863745,0.0368
Parwan,all_months,83,0.0003733954292323777,0.006468315986073415,0.34847237516915563,0.09215028297411833,0.0516
Parwan,wettest_tercile,28,0.0001545178537822124,0.0013020793577329143,0.021570697282398445,0.038267917871260625,0.0376
Samangan,driest_tercile,28,0.011679224322981402,0.25111224707374497,0.9552594298771844,0.4017113273963374,0.4014
Samangan,all_months,83,0.002092416866454001,0.042006098253627056,0.8563306634126501,0.23397721383367967,0.2168
Samangan,wettest_tercile,28,0.000386163156390714,0.007149444535353391,0.8582989121042774,0.13119890913505783,0.1168
Sar-e-Pul,driest_tercile,28,0.025200967503177418,0.7323899333374534,0.9647396910626435,0.5569847107246337,0.5744
Sar-e-Pul,all_months,83,0.001810125410323654,0.04888123411211774,0.8686922588619821,0.2713835027129879,0.2682
Sar-e-Pul,wettest_tercile,30,0.000695183465468572,0.01327248061152755,0.21757836111515483,0.092297377170283,0.0684
Takhar,driest_tercile,29,0.061428628117244345,0.4383909062198328,0.9170946703143988,0.45109830484312363,0.4446
Takhar,all_months,86,0.0014001477447783933,0.08932265280455276,0.8798521690395523,0.25006012091409263,0.2414
Takhar,wettest_tercile,29,0.00021698503015065627,0.003813060622339377,0.3179989067280333,0.07695680797149891,0.0674
Uruzgan,driest_tercile,28,0.04530567532093213,0.4052872690925985,0.9242083897080772,0.4446902642415442,0.4616
Uruzgan,all_months,83,0.0012276684518992172,0.0670431914525765,0.8066307054186045,0.22860996868977598,0.2044
Uruzgan,wettest_tercile,28,0.00034904923256710727,0.007450020726183721,0.20963515699351656,0.03774030862020308,0.0
Wardak,driest_tercile,28,0.00725573094304999,0.6049357296184155,0.94613158678607,0.5141701828670644,0.5626
Wardak,all_months,83,0.0020458819063623986,0.06270949257989088,0.8982540025708379,0.2711607479423501,0.274
Wardak,wettest_tercile,28,0.0013035462669629874,0.004355602994751276,0.20267359686386102,0.06227259814269305,0.0372
Zabul,driest_tercile,28,0.022760553280633856,0.22351396636169077,0.9425058321609631,0.4047412053046057,0.4568
Zabul,all_months,83,0.003120064713885325,0.07454605972467127,0.7747333461806536,0.20129278296829756,0.1748
Zabul,wettest_tercile,28,0.0006039952758824451,0.010705464169587753,0.04876313131900409,0.02335896751650929,0.0
